target,horizon_minutes,n,rmse,nrmse,mae,bias,r2,resolution,resolution_minutes,model,feature_set,candidate_id,split,fit_seconds,inference_seconds
relative_humidity,240,378,5.467669203409524,0.4541343772924726,4.037353218229223,-1.3411273834941337,0.7819644774084679,12min,12,HIST_GRADIENT_BOOSTING,SHT_TIME,1,test,0.25028329994529486,0.14283820008859038
relative_humidity,480,378,4.874039418871259,0.36100534193842876,3.395317878902386,-0.10702170683167611,0.8613450584277984,12min,12,HIST_GRADIENT_BOOSTING,SHT_TIME,1,test,0.25028329994529486,0.14283820008859038
temperature,60,135,1.06058629432525,0.28252556081864677,0.763647810005847,0.11505959159945313,0.9277332704714442,12min,12,XGBOOST,SHT_TIME,2,validation,0.4232180999824777,0.043491900083608925
temperature,120,135,1.6763554894892008,0.45484456079760816,1.1168572464931157,-0.37285024440435677,0.8127085251330934,12min,12,XGBOOST,SHT_TIME,2,validation,0.4232180999824777,0.043491900083608925
temperature,240,135,3.1998428863954853,0.8124719554086746,2.4714861310794034,0.3420636204849058,0.42994337758100787,12min,12,XGBOOST,SHT_TIME,2,validation,0.4232180999824777,0.043491900083608925
temperature,480,135,2.259718905315628,0.37747321598267947,1.8104686433768566,0.874931840307919,0.713055448394282,12min,12,XGBOOST,SHT_TIME,2,validation,0.4232180999824777,0.043491900083608925
relative_humidity,60,135,4.35555530345426,0.3857122260981767,3.15810632776331,-0.36385171094352886,0.8569869469465236,12min,12,XGBOOST,SHT_TIME,2,validation,0.4232180999824777,0.043491900083608925
relative_humidity,120,135,5.735331095899219,0.5309180166951107,3.8175971257716035,0.2680963225188079,0.7398800481989225,12min,12,XGBOOST,SHT_TIME,2,validation,0.4232180999824777,0.043491900083608925
relative_humidity,240,135,8.056768510228311,0.7193222595866179,5.804831773922767,0.8588439432779947,0.5808767687506753,12min,12,XGBOOST,SHT_TIME,2,validation,0.4232180999824777,0.043491900083608925
relative_humidity,480,135,5.227403008421081,0.34921186271077864,3.8212660740981863,-1.0475625128098482,0.8179146798460918,12min,12,XGBOOST,SHT_TIME,2,validation,0.4232180999824777,0.043491900083608925
