family_a,family_b,resolution_minutes,target,horizon_minutes,n_origins,newey_west_lag,mean_squared_error_difference_a_minus_b,newey_west_long_run_variance,dm_statistic,p_value,status,direction,p_value_holm_global,significant_after_global_holm
HYBRID_ROBUST,MACHINE_LEARNING,4,temperature,480,2742,119,0.7115278451794569,658.7622387227067,1.451647857388686,0.1465995446026705,ok,MACHINE_LEARNING_better,1.0,False
HYBRID_ROBUST,MACHINE_LEARNING,12,relative_humidity,60,378,4,-0.012347376095498904,704.8950136087539,-0.00904187205757448,0.9927857281856473,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,MACHINE_LEARNING,12,relative_humidity,120,378,9,1.755572911524439,1783.844221543163,0.8081394505701206,0.4190103093682124,ok,MACHINE_LEARNING_better,1.0,False
HYBRID_ROBUST,MACHINE_LEARNING,12,relative_humidity,240,378,19,2.0832223797966254,3553.777602802483,0.6794170001228105,0.4968736813208757,ok,MACHINE_LEARNING_better,1.0,False
HYBRID_ROBUST,MACHINE_LEARNING,12,relative_humidity,480,378,39,-2.6002458675287774,7950.489404678272,-0.5669743126523146,0.5707316338902716,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,MACHINE_LEARNING,12,temperature,60,378,4,-0.5409599141487961,20.882606816977457,-2.3015405376465274,0.021361096782044786,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,MACHINE_LEARNING,12,temperature,120,378,9,-0.28831897275498014,46.44780632225954,-0.8225011580567091,0.41079172785290474,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,MACHINE_LEARNING,12,temperature,240,378,19,0.17366123121139457,113.98563346366893,0.316245035879892,0.7518165267517185,ok,MACHINE_LEARNING_better,1.0,False
HYBRID_ROBUST,MACHINE_LEARNING,12,temperature,480,378,39,-0.06903250450127549,148.16740575619798,-0.11026132101079093,0.9122021315374531,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,MACHINE_LEARNING,20,relative_humidity,60,556,2,0.29318257998730474,492.6981262200756,0.31144768189583055,0.7554603101135219,ok,MACHINE_LEARNING_better,1.0,False
HYBRID_ROBUST,MACHINE_LEARNING,20,relative_humidity,120,556,5,2.813044510883691,1537.7658577934444,1.6914878895171985,0.09074365884496163,ok,MACHINE_LEARNING_better,1.0,False
HYBRID_ROBUST,MACHINE_LEARNING,20,relative_humidity,240,556,11,2.6334383664571814,4948.542882911662,0.8827178020469756,0.37738876128182486,ok,MACHINE_LEARNING_better,1.0,False
HYBRID_ROBUST,MACHINE_LEARNING,20,relative_humidity,480,556,23,3.913762143740801,7576.66461777904,1.0602121872479195,0.2890480778730872,ok,MACHINE_LEARNING_better,1.0,False
HYBRID_ROBUST,MACHINE_LEARNING,20,temperature,60,556,2,-0.2953707142857659,9.110894234207532,-2.3074076411803452,0.021032105658213313,ok,HYBRID_ROBUST_better,1.0,False
HYBRID_ROBUST,MACHINE_LEARNING,20,temperature,120,556,5,0.06409196890374107,38.588589181194024,0.24328288577288135,0.8077862613617383,ok,MACHINE_LEARNING_better,1.0,False
HYBRID_ROBUST,MACHINE_LEARNING,20,temperature,240,556,11,0.3567613492792815,137.83869918118444,0.7165221338717295,0.47366900542995793,ok,MACHINE_LEARNING_better,1.0,False
HYBRID_ROBUST,MACHINE_LEARNING,20,temperature,480,556,23,0.7017820877221194,142.15590033137636,1.387896976797002,0.16516841857549758,ok,MACHINE_LEARNING_better,1.0,False
