target,horizon_minutes,n,rmse,nrmse,r2,mae,bias,resolution,resolution_minutes,architecture,feature_set,candidate_id,split,epochs,independent_runs
temperature,240,135,4.486768768153963,1.1392351140413175,-0.12079989910125732,3.1159255504608154,-1.9548488855361938,12min,12,TCN,SHT_TIME,1,validation,35,3
temperature,480,135,4.6420885854253715,0.7754346291913871,-0.21092164516448975,3.435494899749756,-2.4704525470733643,12min,12,TCN,SHT_TIME,1,validation,35,3
relative_humidity,60,135,11.58153653559797,1.0256189570014709,-0.011162519454956055,8.961195945739746,2.370696783065796,12min,12,TCN,SHT_TIME,1,validation,35,3
relative_humidity,120,135,11.39693005367838,1.0550106187442931,-0.027146458625793457,8.630383491516113,3.144300699234009,12min,12,TCN,SHT_TIME,1,validation,35,3
relative_humidity,240,135,12.327501791321673,1.1006208073904524,0.018771708011627197,10.177088737487793,1.2404292821884155,12min,12,TCN,SHT_TIME,1,validation,35,3
relative_humidity,480,135,11.53665753860649,0.770695833090824,0.1131238341331482,9.717995643615723,0.654492199420929,12min,12,TCN,SHT_TIME,1,validation,35,3
temperature,60,239,1.6896082812379056,0.42841841537860326,0.7995486259460449,1.2327600717544556,-0.7482911348342896,20min,20,GRU,SHT_TIME,1,validation,41,3
temperature,120,239,2.482178874994359,0.6528653601581386,0.5831506252288818,1.6836882829666138,-1.305692195892334,20min,20,GRU,SHT_TIME,1,validation,41,3
temperature,240,239,2.7997681555811194,0.6045953662875247,0.5062072277069092,2.0363686084747314,-1.6944736242294312,20min,20,GRU,SHT_TIME,1,validation,41,3
temperature,480,239,2.08230629083009,0.38629708691742165,0.7455335259437561,1.6194721460342407,-0.5149034261703491,20min,20,GRU,SHT_TIME,1,validation,41,3
relative_humidity,60,239,4.565777998912295,0.40870989957333903,0.8353095054626465,3.4432339668273926,1.257658839225769,20min,20,GRU,SHT_TIME,1,validation,41,3
relative_humidity,120,239,6.343751503328794,0.5905362625088572,0.6890939474105835,4.325725555419922,1.9866220951080322,20min,20,GRU,SHT_TIME,1,validation,41,3
relative_humidity,240,239,8.088078105847462,0.6626355650843204,0.529487133026123,5.373286724090576,3.631190538406372,20min,20,GRU,SHT_TIME,1,validation,41,3
relative_humidity,480,239,6.196762704144367,0.4518658465342468,0.7464013695716858,4.689783096313477,0.44471192359924316,20min,20,GRU,SHT_TIME,1,validation,41,3
temperature,60,239,1.7420500970550228,0.44171560377512625,0.7869123816490173,1.2961798906326294,-0.7443088889122009,20min,20,LSTM,SHT_TIME,1,validation,61,3
temperature,120,239,1.9604638732134414,0.5156433186812217,0.7399656772613525,1.44265878200531,-0.9203476905822754,20min,20,LSTM,SHT_TIME,1,validation,61,3
